"spp1","spp2","spp3","spp4","spp5","spp6","spp7","spp8","spp9","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp20","spp21","spp22","spp23","spp24","spp25","spp26","spp27","spp28","spp29","spp30"
1,0,1,3,1,2,4,10,13,16,24,30,32,50,54,56,72,78,70,71,71,69,69,50,50,38,36,18,17,12
1,0,1,2,1,1,7,7,13,20,20,35,32,42,42,61,74,78,76,75,67,61,62,57,45,34,29,23,18,5
0,2,0,1,1,2,4,10,5,20,22,25,31,47,54,60,69,73,73,73,69,62,58,46,49,24,25,12,17,9
1,0,0,2,4,3,4,12,14,12,22,32,38,52,51,56,68,63,77,76,75,71,60,54,42,35,37,23,11,7
1,0,1,2,7,8,6,11,6,22,21,23,31,43,65,63,67,74,69,76,73,78,57,43,48,38,16,12,10,12
0,0,0,3,8,6,6,9,21,16,20,28,40,45,63,70,64,67,76,76,63,65,52,53,50,24,30,20,14,9
1,0,1,1,7,9,6,8,12,20,34,34,33,51,53,66,72,70,74,73,65,71,53,49,34,23,25,24,7,9
0,3,1,1,3,6,12,11,15,18,26,35,50,50,53,65,69,74,77,76,60,65,54,52,34,32,18,18,13,6
2,1,0,2,1,8,8,9,16,29,32,32,34,46,53,61,72,72,77,80,75,65,52,42,30,36,23,23,9,10
1,0,3,1,2,5,9,10,15,26,33,33,40,48,53,62,58,65,72,73,63,69,52,45,38,26,23,19,14,5
1,1,0,2,4,9,7,12,22,21,26,35,47,50,54,73,69,76,72,70,65,57,50,49,36,38,18,14,10,10
1,0,3,3,4,2,6,9,13,22,20,36,49,49,62,69,63,65,77,71,60,64,49,44,37,36,28,22,14,9
0,1,3,1,2,9,5,10,14,23,30,37,38,52,51,59,65,67,73,81,67,66,50,52,39,34,24,11,10,6
0,5,3,1,2,1,2,7,19,22,21,35,36,42,55,59,65,76,75,78,67,64,53,51,40,36,25,19,11,10
0,0,0,0,2,4,7,6,13,21,21,31,40,44,48,62,67,74,74,74,75,65,54,50,43,27,21,17,14,6
0,0,1,1,1,5,6,9,10,21,17,29,37,37,54,59,64,73,80,73,69,58,62,48,38,32,21,17,11,7
1,1,0,2,2,3,11,7,9,13,16,43,37,40,51,54,69,79,69,76,60,78,62,44,36,37,20,19,11,11
0,0,1,0,2,6,7,6,13,12,16,28,47,51,51,67,74,66,79,79,76,71,65,50,36,41,27,28,15,14
0,0,1,1,1,1,3,8,11,15,17,23,34,39,46,57,72,77,81,77,73,71,62,58,43,38,29,25,13,11
1,0,2,2,3,2,6,7,11,20,19,21,40,53,56,62,69,79,80,74,68,66,64,58,42,37,19,20,13,11
1,0,0,0,1,2,5,5,13,22,19,32,32,49,48,62,60,78,80,81,74,72,59,56,43,41,26,18,20,13
0,0,0,2,1,5,3,8,6,19,22,28,31,32,47,51,72,71,75,77,72,74,65,49,57,30,35,24,19,14
0,0,0,0,0,3,5,3,10,10,24,25,32,37,49,65,72,79,75,78,76,73,53,51,41,40,30,22,12,10
0,0,0,0,1,2,4,9,10,14,13,24,27,43,55,58,68,72,73,76,81,70,64,56,55,38,30,18,15,5
0,0,1,0,4,2,8,5,10,10,19,23,30,45,49,56,63,75,77,78,76,65,63,55,46,32,32,18,16,10
0,1,0,0,2,2,5,6,8,12,16,27,24,41,49,47,69,69,75,85,80,75,69,54,43,35,31,13,22,13
0,0,2,0,1,4,3,9,9,14,17,24,27,45,48,54,68,73,89,83,77,76,70,49,47,40,27,21,15,9
0,0,0,0,1,3,7,3,9,13,16,21,26,48,57,62,74,68,75,82,85,68,61,59,48,33,28,18,19,8
0,0,1,0,2,2,1,5,9,14,17,30,26,41,40,59,65,77,76,82,73,68,66,51,53,41,23,24,12,7
1,0,0,3,1,4,1,1,7,11,15,33,29,34,53,64,67,64,84,82,82,75,59,61,49,41,20,24,10,5
0,0,0,0,1,2,2,7,13,11,9,18,30,43,57,67,61,76,74,79,74,79,56,57,40,41,25,26,16,14
0,1,1,2,1,1,3,5,12,10,16,30,33,38,48,60,56,73,81,84,79,71,70,59,52,32,27,21,16,7
0,0,0,1,1,1,2,6,5,9,12,28,39,46,43,55,68,70,77,77,80,81,68,61,55,45,30,25,20,12
0,0,0,0,3,1,2,7,6,12,21,17,32,37,47,58,64,72,71,82,81,76,59,53,48,42,23,27,16,11
0,0,0,1,2,0,3,4,6,8,18,15,26,41,52,66,64,79,81,77,72,69,65,62,39,35,32,21,13,14
0,1,1,3,4,5,3,8,7,11,14,22,39,33,46,61,54,77,76,73,73,71,66,65,43,34,32,28,10,13
0,0,1,1,2,0,2,7,10,12,17,25,25,42,52,59,69,72,75,73,76,71,62,54,57,44,33,24,12,11
0,0,1,1,0,0,3,8,8,17,18,23,26,39,55,67,76,76,75,80,82,73,68,55,48,37,27,24,21,8
0,0,0,0,1,0,1,5,7,19,19,21,29,35,50,58,67,76,70,82,80,80,68,69,39,31,28,27,17,9
0,0,0,0,0,3,5,3,8,12,25,19,40,41,55,61,66,79,84,78,76,65,58,53,50,40,23,19,22,14
0,1,0,2,2,1,3,4,3,14,19,18,24,34,47,61,66,80,80,78,81,70,62,58,45,34,36,21,13,13
0,0,0,0,2,4,3,2,9,20,18,27,34,40,37,51,65,76,74,86,76,75,59,54,44,42,33,19,10,7
0,0,1,0,0,4,4,5,5,19,17,23,37,36,52,53,67,65,79,80,82,81,67,60,56,35,32,12,19,9
0,0,0,0,0,0,5,4,7,25,16,25,33,36,52,60,68,78,85,83,77,71,69,49,49,41,25,22,14,6
1,0,0,0,2,6,3,5,8,14,18,22,31,41,39,52,66,77,75,84,76,74,61,60,44,37,28,22,22,12
0,0,0,0,0,1,2,9,4,13,19,21,30,46,59,63,65,75,74,74,74,77,65,70,49,41,27,26,17,7
0,0,2,1,1,7,3,1,12,12,22,25,29,39,49,59,69,76,77,77,74,73,69,61,46,45,26,23,16,7
0,0,0,1,4,3,5,5,9,10,24,21,33,39,56,54,72,73,76,66,75,59,61,63,40,36,33,17,14,13
0,0,0,0,1,5,4,9,7,21,25,28,31,38,64,61,67,81,81,73,78,74,66,45,50,38,30,20,13,8
0,0,0,1,1,3,5,4,12,13,23,24,34,40,49,63,73,69,71,73,71,69,68,58,54,36,23,23,14,8
0,0,1,1,2,1,7,6,10,16,21,27,39,48,48,55,64,75,75,76,68,75,66,59,48,29,25,19,14,13
0,0,0,2,2,5,8,10,7,19,28,34,42,41,51,65,73,78,77,78,72,62,72,58,39,27,28,18,14,8
0,0,1,3,2,1,3,12,15,19,27,25,40,40,58,65,54,72,71,74,68,63,55,48,38,31,27,22,13,6
0,3,2,0,4,5,7,8,20,14,22,27,42,47,52,61,68,75,74,78,65,65,58,42,41,30,26,19,12,11
2,2,0,0,4,5,14,13,12,23,28,32,39,50,55,64,68,76,75,70,64,66,56,52,38,31,26,13,19,11
2,1,1,5,6,1,7,10,18,20,25,36,43,50,56,69,68,71,66,70,75,69,63,47,41,32,25,15,12,10
0,2,1,3,5,13,10,18,16,26,32,44,47,60,58,65,70,76,63,67,65,51,53,44,38,22,17,20,9,5
0,0,1,7,7,4,12,7,23,22,28,36,43,57,60,72,71,68,75,71,69,61,46,50,29,33,20,13,19,7
1,0,2,5,2,7,10,16,16,31,30,36,44,54,62,66,68,62,67,73,56,55,53,49,41,27,25,18,11,7
1,0,0,2,2,11,17,15,16,27,37,47,46,55,60,67,62,73,68,62,66,59,51,50,32,30,29,21,10,3
0,1,0,3,5,6,12,15,24,22,40,45,42,60,66,57,75,72,73,73,67,52,54,30,30,28,22,11,14,5
0,1,2,1,5,8,9,17,21,26,30,44,53,74,55,63,79,72,75,67,69,60,45,47,33,40,10,9,11,8
1,2,2,4,7,9,12,13,15,24,28,43,34,62,52,72,67,67,63,70,68,55,53,44,34,22,20,14,13,6
0,1,3,5,5,2,8,17,15,20,24,35,39,49,55,67,67,70,72,61,60,62,55,38,37,27,20,17,6,4
1,3,2,0,2,6,8,8,17,21,29,38,38,55,59,57,72,74,70,70,73,53,51,42,36,27,15,19,15,5
1,0,0,1,1,3,8,10,19,21,24,36,40,50,55,56,70,67,73,73,75,72,53,46,33,30,19,9,10,7
0,0,0,1,4,4,9,12,16,27,24,42,47,43,57,70,66,77,71,68,70,70,59,55,41,30,23,18,9,7
0,0,3,2,0,3,6,12,12,17,26,32,42,41,60,56,62,73,77,79,68,63,60,50,49,27,23,26,11,7
0,0,1,1,0,5,6,11,13,16,21,34,38,50,54,65,73,71,80,77,70,70,65,46,33,34,24,13,10,7
0,1,0,2,2,4,5,12,11,25,20,31,42,51,63,61,70,75,79,76,71,66,65,56,39,36,29,17,12,7
0,0,0,0,0,8,5,6,6,13,26,31,32,40,57,62,64,73,70,75,78,62,59,51,41,22,29,21,12,17
1,0,2,1,2,5,7,7,9,12,16,26,29,46,45,64,54,73,80,70,74,68,58,52,39,36,30,18,16,15
0,2,0,2,1,4,5,10,8,9,21,25,35,40,59,67,60,73,78,76,73,76,70,59,50,41,26,17,10,10
1,0,0,1,2,5,5,5,10,16,26,24,42,37,43,56,65,78,78,70,75,79,60,59,48,40,31,24,11,11
0,0,1,1,2,3,2,6,14,16,17,20,36,42,50,55,64,70,82,79,80,60,61,43,46,40,33,26,15,12
0,0,1,0,0,2,4,4,14,16,18,24,30,43,42,57,70,79,77,76,83,70,72,54,44,37,31,26,23,12
1,0,0,1,1,2,2,5,5,9,13,23,23,33,52,63,71,74,84,77,78,70,65,55,36,32,19,19,13,13
0,0,0,1,4,5,4,5,11,14,18,26,36,44,51,57,67,75,75,76,80,74,67,62,54,38,27,24,15,14
0,1,0,0,1,3,0,7,13,15,10,23,25,48,43,57,70,76,73,76,71,75,68,59,47,41,34,10,17,14
0,0,0,1,3,4,2,4,6,10,9,24,30,34,39,66,75,70,75,82,83,73,64,62,44,35,39,22,17,10
0,0,2,0,0,0,2,4,4,10,6,18,25,37,50,64,65,78,77,85,88,71,57,55,43,31,30,23,17,11
0,0,0,0,1,2,6,2,8,9,20,21,37,41,47,75,69,76,79,83,80,64,68,60,44,38,25,22,13,13
0,0,0,2,2,1,3,3,11,13,17,18,26,33,50,56,66,74,72,76,71,68,64,60,46,41,24,25,15,9
0,1,0,0,1,1,1,5,10,8,11,30,38,37,57,59,62,76,79,84,78,69,75,55,43,42,28,18,17,9
0,0,0,2,1,1,5,6,10,13,13,30,35,36,50,60,58,73,83,77,77,70,65,59,49,38,23,22,15,12
0,0,0,3,1,0,2,7,12,7,19,27,28,36,54,56,66,71,82,73,71,82,71,52,45,34,32,32,19,13
0,0,1,0,0,1,2,6,8,9,19,35,27,32,50,61,60,75,82,83,77,74,64,55,47,28,35,26,12,16
0,1,0,1,0,3,3,2,11,12,16,21,33,36,50,64,60,70,77,77,76,74,71,54,44,43,31,22,19,14
0,0,1,0,1,2,3,8,7,15,12,23,32,27,44,54,60,78,82,79,79,72,63,60,52,42,38,19,12,10
0,0,0,1,1,3,3,6,10,14,19,20,32,35,47,53,68,75,82,83,74,72,70,52,43,28,33,22,14,9
1,1,0,1,1,2,1,3,8,8,20,23,30,42,54,49,63,77,86,79,74,73,68,52,46,46,28,24,12,11
0,1,0,0,2,5,3,1,5,9,12,25,32,38,43,54,63,74,78,82,77,76,61,58,45,37,25,20,10,13
0,0,0,0,1,5,3,3,9,10,18,18,37,40,46,54,60,74,84,79,81,74,73,53,49,40,32,26,13,12
0,0,0,1,1,1,4,6,11,13,15,26,26,42,50,61,65,76,75,80,83,70,58,59,41,35,28,25,19,10
0,0,2,2,1,1,3,6,11,12,18,25,31,40,52,44,70,70,80,80,80,69,69,62,52,33,30,26,18,4
0,0,0,3,2,2,1,9,12,13,21,22,31,41,52,68,65,78,82,78,77,68,69,58,41,26,26,24,11,12
0,1,0,0,1,2,6,4,12,12,10,26,40,43,47,59,68,74,73,75,70,76,58,52,46,46,26,27,21,13
0,0,1,0,2,1,6,8,8,21,15,24,30,46,53,64,72,75,69,81,76,69,69,51,45,39,33,19,10,7
0,0,1,2,1,1,7,9,12,17,21,25,37,34,55,55,71,73,74,77,76,70,62,57,39,36,30,26,11,14
0,0,0,2,3,3,5,12,5,16,22,26,34,44,45,55,67,71,81,75,81,63,62,52,45,35,27,17,10,8
3,0,0,1,0,1,2,4,12,15,17,26,37,41,54,63,75,70,64,80,75,59,65,51,38,39,18,18,10,3
1,2,1,3,0,3,3,5,13,18,24,32,47,47,57,67,73,73,84,71,70,61,62,44,43,34,32,16,6,5
0,0,1,1,4,5,8,12,11,21,26,36,41,53,61,66,73,74,76,76,75,61,65,47,46,31,29,25,13,3
0,2,1,1,4,6,4,11,15,22,29,37,40,49,58,76,70,79,80,62,59,60,48,42,48,31,23,17,11,9
1,1,3,3,4,4,4,19,15,20,40,38,43,50,50,64,60,75,71,67,67,58,45,44,47,29,16,14,5,10
1,0,1,1,7,10,13,20,24,21,37,46,44,56,64,62,60,67,70,67,65,61,54,48,35,27,22,22,11,6
3,1,3,4,7,6,14,16,18,26,27,50,54,44,52,62,78,70,78,69,63,48,57,42,32,30,13,9,7,4
0,1,1,3,7,11,8,13,24,24,34,47,48,52,64,62,69,70,71,61,52,52,55,40,30,23,22,9,7,6
0,0,2,3,5,9,16,15,15,29,35,47,55,56,72,65,81,78,62,69,65,52,50,39,28,25,17,10,7,8
2,1,5,1,3,8,9,25,22,31,35,48,48,66,62,71,69,70,65,66,60,56,44,41,31,17,18,14,10,9
0,0,1,2,5,7,12,8,19,26,41,43,48,54,63,67,57,72,62,64,53,57,37,40,25,21,14,8,6,9
0,4,3,3,9,9,17,17,21,31,28,48,54,66,73,68,69,70,63,64,60,56,47,38,36,21,13,16,12,6
0,1,2,5,6,11,14,20,18,27,42,49,49,65,65,62,65,71,64,74,50,51,52,38,22,22,17,14,6,11
0,1,4,7,12,6,8,19,33,31,37,47,50,62,69,66,62,73,73,63,62,53,45,39,31,25,21,15,9,6
2,4,1,0,3,7,14,18,24,25,34,44,54,63,65,69,63,67,75,65,59,46,38,36,32,23,11,13,10,5
2,2,1,4,7,7,8,17,19,33,36,39,46,56,67,64,61,70,71,55,61,53,58,47,34,27,18,14,9,5
0,1,0,0,5,9,19,20,16,30,31,37,49,53,67,67,68,61,73,68,58,59,44,36,35,28,22,17,8,9
1,1,0,7,11,4,10,14,21,24,29,42,51,61,57,61,76,66,82,56,69,61,42,44,37,30,22,18,10,9
1,2,2,2,2,8,10,13,18,29,27,41,36,53,62,67,70,75,67,72,55,66,43,49,41,31,22,23,12,9
0,0,4,1,5,3,11,7,12,21,23,33,48,45,58,61,66,76,74,65,67,58,52,47,40,31,22,8,11,8
0,1,1,1,3,8,5,10,10,14,22,25,35,40,56,66,75,71,73,76,69,53,62,43,41,33,26,23,9,4
0,0,2,5,0,3,9,9,15,12,24,24,40,49,54,63,69,68,70,77,78,66,54,42,36,35,25,24,15,4
0,0,0,0,1,3,1,11,11,12,30,26,38,43,56,54,71,73,74,75,63,74,61,49,43,36,28,16,14,14
0,2,0,2,4,3,5,13,11,13,22,35,35,39,57,48,83,75,84,71,76,67,64,58,37,30,21,17,16,11
1,1,1,2,2,3,5,11,7,20,12,33,32,44,56,58,70,76,73,87,76,70,68,57,47,34,19,24,19,13
0,0,0,0,2,2,4,2,13,12,16,24,35,42,53,67,70,77,75,77,72,73,63,53,38,42,25,16,11,14
0,1,0,0,1,0,4,5,7,11,17,24,35,49,45,54,74,78,78,82,75,73,63,59,40,43,39,21,7,7
1,0,0,0,1,4,2,4,7,13,17,28,31,37,47,62,73,81,68,78,80,70,72,54,51,34,21,26,12,10
0,1,2,1,3,2,5,6,10,13,10,29,34,31,47,55,71,75,71,73,79,63,68,56,54,36,20,18,15,11
0,0,0,2,2,2,2,3,7,12,20,18,30,39,52,49,71,78,75,73,75,66,59,60,47,37,35,32,14,14
0,0,1,1,0,2,4,4,6,9,22,21,28,43,54,56,68,71,78,84,77,72,73,58,54,36,35,20,18,6
0,0,0,0,0,0,5,8,9,6,12,24,27,40,47,58,62,76,78,83,83,66,65,58,50,32,27,19,18,9
0,0,0,1,0,1,4,3,6,11,14,26,37,41,53,58,72,68,75,87,79,84,74,52,49,31,29,22,20,11
0,0,0,1,1,2,3,5,13,9,16,31,25,48,46,62,68,73,79,81,76,76,61,55,41,36,31,20,12,11
0,0,0,0,1,2,4,7,11,13,16,25,39,43,46,59,68,73,78,82,74,70,69,56,37,39,33,18,19,6
0,0,0,0,2,2,3,4,8,12,15,18,24,40,58,58,67,67,79,74,85,67,71,59,51,45,26,25,19,10
0,1,0,1,2,2,1,8,11,12,14,27,34,42,56,53,64,76,77,68,74,72,72,58,51,47,20,21,21,9
0,0,0,2,1,3,6,5,6,6,15,27,33,46,47,59,64,69,81,72,85,79,55,55,45,30,31,15,13,9
0,1,0,0,1,1,2,1,6,10,15,28,41,31,48,50,68,73,76,75,73,79,62,52,42,46,25,25,13,12
0,0,0,0,2,0,0,6,8,11,24,26,24,37,51,55,72,74,77,84,80,67,67,56,45,40,29,22,17,5
0,1,0,1,2,3,7,5,12,13,15,21,28,42,58,59,71,75,71,77,81,79,70,55,40,34,33,25,18,9
1,0,0,0,1,2,6,5,6,8,17,31,38,34,55,58,59,71,82,79,76,64,68,62,48,39,30,23,12,9
0,0,1,1,3,3,1,4,8,9,17,35,34,35,42,61,67,78,83,83,77,72,73,66,44,44,24,27,14,9
0,0,0,0,2,1,8,4,10,10,12,22,39,40,58,57,64,73,72,87,80,81,60,52,48,37,31,19,15,8
0,0,0,1,0,0,8,10,8,16,18,22,40,42,56,65,70,79,80,80,77,74,65,53,46,36,30,21,9,11
0,0,0,1,1,0,3,7,8,15,15,23,22,42,58,71,74,77,81,79,72,71,64,52,49,34,36,16,17,6
1,0,0,1,0,2,3,4,8,8,20,23,39,38,47,56,64,76,83,79,79,79,66,52,48,48,22,19,14,10
0,0,2,1,1,3,4,7,8,14,20,28,28,32,57,68,66,68,82,77,77,71,56,54,47,34,30,16,21,10
0,0,0,1,2,2,1,8,11,12,18,22,35,51,55,62,60,69,79,80,80,68,66,57,45,30,20,25,12,7
0,0,2,4,2,3,4,8,8,19,23,31,32,50,47,67,66,79,85,78,71,76,61,50,50,31,33,17,14,6
1,4,0,1,2,4,5,9,12,12,25,25,41,44,61,59,67,79,74,79,76,67,59,49,44,39,25,19,13,8
1,1,1,3,1,8,14,10,8,12,29,42,32,48,60,51,68,79,80,70,64,65,59,47,39,34,24,11,14,13
0,1,0,1,1,6,8,11,11,24,23,38,42,51,56,59,70,69,76,62,71,65,54,45,39,26,30,21,13,13
1,1,0,1,3,8,11,5,18,19,28,34,45,46,63,66,64,80,73,73,76,58,48,43,40,24,28,17,13,7
0,0,0,0,7,4,5,17,17,31,27,33,46,56,62,65,75,66,71,68,66,56,44,44,38,26,19,19,17,8
2,3,0,2,4,5,5,9,12,36,32,48,52,59,53,63,73,65,62,69,64,46,49,35,31,25,24,15,7,4
1,4,2,3,6,8,14,20,17,21,36,47,48,68,59,60,68,72,65,72,55,51,43,37,26,22,16,13,10,4
0,2,2,4,4,4,21,17,30,30,46,50,49,59,61,67,70,66,72,65,62,45,46,37,23,22,18,10,8,1
2,2,1,4,1,10,14,10,24,30,40,49,54,66,72,75,73,63,62,61,57,45,51,30,22,19,15,9,8,5
1,1,2,6,9,10,11,19,31,33,46,62,60,65,71,79,62,70,64,54,50,46,53,35,25,22,18,16,7,6
1,6,2,3,5,11,16,26,33,36,51,51,55,66,65,72,72,72,69,56,51,57,35,20,24,19,17,18,3,2
0,4,5,6,6,9,12,22,25,38,40,51,58,63,71,67,73,66,66,55,48,49,33,29,21,11,9,12,6,3
0,2,5,5,9,6,28,21,30,45,42,55,58,60,75,65,72,71,61,57,53,41,35,33,18,12,13,7,3,5
2,1,0,5,11,10,12,24,25,31,38,52,69,68,66,72,69,66,66,61,51,43,38,29,23,15,13,8,6,4
0,3,2,8,8,12,13,18,31,38,38,53,54,61,71,76,75,65,62,59,61,48,36,26,29,17,17,10,9,3
2,2,3,3,7,10,14,22,31,26,48,52,54,57,69,67,63,68,67,50,45,48,39,34,28,13,12,10,12,5
0,4,2,3,6,13,19,18,23,41,34,54,48,53,66,68,72,64,62,64,65,46,41,30,28,16,18,12,7,4
0,2,3,5,6,10,9,17,29,39,31,54,48,66,61,73,69,74,64,58,62,59,52,39,25,24,18,10,9,7
1,0,4,3,8,13,18,22,22,26,33,47,50,62,58,71,69,71,66,51,64,51,50,32,31,22,23,11,10,6
2,2,0,1,7,8,13,16,17,29,34,52,60,54,61,60,70,75,69,64,61,56,46,39,38,21,12,15,6,9
0,1,2,3,5,5,11,13,12,27,31,41,47,43,62,65,65,76,78,78,65,67,57,41,32,26,20,5,8,9
2,4,1,0,1,8,6,16,11,27,30,29,44,54,55,71,75,63,72,67,68,63,54,40,36,22,29,16,10,12
0,0,2,5,5,7,4,10,12,18,25,33,26,44,54,56,68,66,76,72,71,61,60,50,28,25,24,20,7,8
0,0,2,2,0,3,5,10,15,13,20,34,37,49,51,60,71,71,69,70,70,71,56,54,41,26,29,23,14,12
1,1,0,3,4,11,6,8,11,16,20,28,46,45,47,65,75,77,66,78,71,68,58,57,42,40,24,17,11,10
0,0,1,0,3,4,7,8,8,16,17,27,35,41,42,64,75,76,75,71,74,77,64,56,45,38,28,22,19,12
0,0,0,3,2,3,1,9,10,21,22,27,32,41,53,60,63,69,84,75,77,64,49,60,49,37,31,18,14,7
0,0,1,2,1,5,4,6,7,17,17,29,29,31,48,51,68,70,79,76,73,73,63,57,49,40,35,23,18,10
0,0,0,3,1,3,4,4,8,10,29,25,29,37,46,50,70,77,68,85,81,74,64,50,42,38,27,19,18,8
0,2,0,1,1,2,8,3,12,9,22,30,37,41,53,63,63,75,81,74,78,70,65,61,45,35,30,29,11,13
0,0,0,0,0,1,8,10,6,11,17,25,34,34,52,65,68,76,81,77,75,74,60,53,43,34,31,20,17,8
0,0,0,1,1,5,5,5,8,15,13,17,28,42,51,54,60,71,81,78,84,69,66,53,55,42,35,19,20,14
0,0,1,0,1,2,4,10,5,12,23,20,30,39,32,59,72,74,70,79,76,77,59,54,52,39,30,21,14,13
0,0,0,0,1,1,0,4,7,12,21,33,35,35,51,56,58,70,80,77,72,73,73,52,47,35,32,22,11,13
0,0,1,2,2,0,4,3,8,17,14,19,37,41,56,59,70,79,81,76,70,72,69,50,47,36,34,24,19,6
0,0,1,0,3,2,4,5,6,15,16,24,28,30,53,58,70,79,79,78,76,80,62,60,54,44,17,17,18,10
1,0,1,0,1,4,1,8,4,7,16,24,31,47,45,55,67,73,77,76,80,73,63,60,41,35,24,24,12,10
0,0,1,0,2,2,4,5,4,7,13,27,40,42,56,58,62,71,81,75,83,72,64,53,50,36,28,27,22,14
0,0,0,0,2,0,5,3,9,9,14,18,30,49,54,61,67,65,82,76,73,63,58,61,48,44,27,20,15,12
0,0,0,2,1,2,3,8,7,16,16,22,35,32,45,57,71,77,77,81,72,68,78,58,45,34,32,24,17,10
1,0,2,0,2,2,3,5,4,11,24,22,24,39,49,59,64,76,77,76,80,74,67,64,47,38,36,21,13,10
0,0,0,2,0,2,2,4,6,14,20,24,33,45,46,52,66,72,71,80,77,78,66,54,43,42,25,20,12,10
0,0,0,1,1,1,1,3,7,6,10,20,42,34,58,61,61,68,71,75,80,74,68,57,49,41,31,18,12,8
0,0,1,1,2,1,1,7,8,16,17,16,34,29,56,63,69,64,81,77,71,67,61,54,50,38,29,20,19,6
0,0,1,0,0,2,6,6,4,12,15,24,34,41,42,65,61,75,86,70,77,71,66,56,52,43,31,30,21,7
0,0,1,0,1,4,2,4,9,7,17,22,29,38,50,41,66,75,72,80,76,70,67,57,46,29,28,16,12,9
0,0,1,1,4,2,4,6,8,11,12,26,37,41,48,58,58,70,80,75,68,70,62,50,53,35,32,25,15,15
0,0,0,2,0,4,2,7,13,17,24,29,29,44,49,68,63,66,80,76,75,63,66,56,47,42,28,16,13,6
0,1,1,1,0,3,7,6,11,13,16,27,39,34,51,58,69,69,79,77,79,62,65,54,45,36,30,23,11,17
0,1,0,0,2,4,5,4,13,13,19,30,39,39,50,54,73,80,80,84,73,70,60,48,38,37,30,24,16,16
0,0,0,2,4,2,6,6,6,21,19,34,38,41,48,57,68,64,79,78,77,67,69,52,43,33,25,18,14,12
0,1,1,2,3,6,9,7,15,19,19,31,37,46,55,70,68,74,71,68,75,60,55,50,45,30,29,21,14,14
1,0,0,2,0,1,12,10,19,20,20,25,47,45,60,56,72,84,69,70,69,73,64,47,41,21,23,15,16,7
0,0,4,4,5,7,15,13,8,20,25,31,52,54,59,60,70,80,66,71,69,60,49,41,34,25,21,15,17,7
0,0,2,1,4,9,10,16,18,27,35,46,52,54,65,62,64,73,64,64,64,60,50,38,30,25,26,16,9,9
1,1,2,2,4,6,17,14,20,34,26,46,56,60,70,65,72,68,66,67,62,50,41,29,32,22,21,5,6,6
2,0,4,5,6,10,8,22,34,38,44,48,57,55,70,73,70,71,64,58,57,54,41,33,23,28,17,12,12,6
0,2,3,5,7,6,14,16,30,33,42,49,51,72,67,79,72,66,71,67,55,38,38,32,27,23,17,9,11,4
0,1,2,6,4,12,15,20,34,32,47,50,56,66,76,76,69,76,59,57,45,47,33,28,19,23,13,10,11,3
1,2,4,5,4,16,14,21,28,33,48,48,61,74,72,70,68,66,68,62,55,39,33,19,22,16,12,6,8,9
0,1,2,7,5,16,14,21,26,36,55,60,62,67,77,75,74,66,61,49,43,41,26,19,26,10,8,4,4,0
0,1,2,5,11,15,16,33,31,41,47,53,59,70,71,73,74,74,62,58,44,41,36,24,27,16,14,7,4,3
1,1,2,5,6,18,17,21,34,34,39,60,74,66,74,70,70,70,59,52,44,36,26,24,16,9,10,7,7,4
